Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/distribution-karaf-0.5.3-Boron-SR3/lock
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-08-23 07:27:25,868 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=framework,version=1.7,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a
2017-08-23 07:27:26,386 | INFO  | Event Dispatcher | RegionsPersistenceImpl           | 59 - org.apache.karaf.region.persist - 3.0.7 | Loading region digraph persistence
2017-08-23 07:27:26,401 | INFO  | Event Dispatcher | RegionsPersistenceImpl           | 59 - org.apache.karaf.region.persist - 3.0.7 | initializing region digraph from etc/regions-config.xml
2017-08-23 07:27:26,468 | INFO  | Event Dispatcher | SecurityUtils                    | 30 - org.apache.sshd.core - 0.14.0 | BouncyCastle not registered, using the default JCE provider
2017-08-23 07:27:26,591 | INFO  | Event Dispatcher | Main                             |  -  -  | Karaf started in 3s. Bundle stats: 64 active, 64 total
2017-08-23 07:27:27,406 | INFO  | a]-nio2-thread-1 | ServerSession                    | 30 - org.apache.sshd.core - 0.14.0 | Server session created from /0:0:0:0:0:0:0:1:34130
2017-08-23 07:27:27,422 | INFO  | a]-nio2-thread-1 | SimpleGeneratorHostKeyProvider   | 30 - org.apache.sshd.core - 0.14.0 | Generating host key...
2017-08-23 07:27:31,965 | INFO  | a]-nio2-thread-1 | ServerUserAuthService            | 30 - org.apache.sshd.core - 0.14.0 | Session karaf@/0:0:0:0:0:0:0:1:34130 authenticated
2017-08-23 07:27:52,152 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-netvirt-openstack 0.3.3-Boron-SR3
2017-08-23 07:27:52,153 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-neutron-service 0.7.3-Boron-SR3
2017-08-23 07:27:52,154 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-neutron-spi 0.7.3-Boron-SR3
2017-08-23 07:27:52,155 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-models 0.9.3-Boron-SR3
2017-08-23 07:27:52,155 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-binding-base 2.1.3-Boron-SR3
2017-08-23 07:27:52,155 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-yangtools-common 1.0.3-Boron-SR3
2017-08-23 07:27:52,354 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-neutron-northbound-api 0.7.3-Boron-SR3
2017-08-23 07:27:52,354 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-aaa-shiro 0.4.3-Boron-SR3
2017-08-23 07:27:52,354 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-aaa-authn 0.4.3-Boron-SR3
2017-08-23 07:27:52,355 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-aaa-api 0.4.3-Boron-SR3
